127.0.0.1, 2019-05-16 11:34:06, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-16 11:34:42, GET, /start/default/index, HTTP/1.1, 200, 0.137000
127.0.0.1, 2019-05-16 11:34:42, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:34:42, GET, /start/static/css/stupid.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-16 11:34:42, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:34:42, GET, /start/static/js/vue.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:34:42, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:34:42, GET, /start/static/js/default_index.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:34:42, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.003000
0
127.0.0.1, 2019-05-16 11:34:42, GET, /start/static/css/custom.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-05-16 11:34:42, GET, /start/static/css/web2py.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2019-05-16 11:34:42, GET, /start/static/css/calendar.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2019-05-16 11:34:42, GET, /start/static/css/myapp.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2019-05-16 11:34:42, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:34:42, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-05-16 11:37:53, GET, /start/default/index, HTTP/1.1, 200, 0.130000
127.0.0.1, 2019-05-16 11:37:53, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:37:53, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:37:53, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:37:53, GET, /start/static/js/vue.js, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:37:53, GET, /start/static/js/default_index.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:37:53, GET, /start/static/js/marked.min.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:37:53, GET, /start/static/css/stupid.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:37:53, GET, /start/static/js/vue.min.js, HTTP/1.1, 304, 0.003000
127.0.0.1, 2019-05-16 11:37:53, GET, /start/static/css/custom.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:37:53, GET, /start/static/css/web2py.css, HTTP/1.1, 304, 0.002000
127.0.0.1, 2019-05-16 11:37:53, GET, /start/static/css/myapp.css, HTTP/1.1, 304, 0.002000
0
127.0.0.1, 2019-05-16 11:37:53, GET, /start/static/font-awesome-4.6.3/css/font-awesome.min.css, HTTP/1.1, 304, 0.000000
127.0.0.1, 2019-05-16 11:37:53, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-05-16 11:38:48, GET, /start/default/index, HTTP/1.1, 500, 0.174000
127.0.0.1, 2019-05-16 11:38:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2019-05-16 11:38:49, GET, /admin/default/ticket/start/127.0.0.1.2019-05-16.11-38-47.151c95af-8b7b-40c7-9476-24094d1c0b71, HTTP/1.1, 200, 0.044000
127.0.0.1, 2019-05-16 11:38:49, GET, /admin/static/_2.18.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2019-05-16 11:38:49, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2019-05-16 11:38:59, GET, /start/default/index, HTTP/1.1, 200, 0.100000
127.0.0.1, 2019-05-16 11:38:59, GET, /start/static/js/jquery.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:38:59, GET, /start/static/js/calendar.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2019-05-16 11:38:59, GET, /start/static/js/web2py.js, HTTP/1.1, 304, 0.002000
